iter	Passed	Remaining
0	150	75151
1	162	40439
2	171	28423
3	180	22341
4	190	18819
5	200	16523
6	209	14728
7	220	13536
8	228	12492
9	239	11718
10	249	11111
11	258	10500
12	269	10104
13	279	9716
14	289	9346
15	300	9085
16	308	8771
17	319	8552
18	329	8340
19	338	8118
20	348	7946
21	357	7764
22	366	7595
23	376	7460
24	385	7315
25	395	7201
26	406	7117
27	418	7047
28	428	6963
29	439	6890
30	451	6832
31	468	6852
32	488	6911
33	500	6859
34	516	6867
35	535	6902
36	556	6969
37	578	7037
38	595	7035
39	612	7042
40	627	7024
41	642	7001
42	656	6975
43	668	6925
44	684	6920
45	697	6884
46	711	6856
47	724	6824
48	738	6795
49	751	6759
50	762	6716
51	776	6685
52	788	6653
53	801	6621
54	814	6586
55	826	6552
56	838	6513
57	849	6472
58	860	6428
59	871	6389
60	881	6346
61	891	6300
62	902	6262
63	912	6215
64	923	6177
65	934	6142
66	945	6108
67	956	6073
68	966	6040
69	977	6002
70	987	5968
71	999	5943
72	1010	5909
73	1021	5880
74	1032	5849
75	1043	5820
76	1054	5791
77	1064	5761
78	1075	5732
79	1087	5710
80	1100	5690
81	1110	5660
82	1122	5641
83	1135	5625
84	1147	5602
85	1158	5575
86	1170	5557
87	1185	5549
88	1199	5537
89	1215	5537
90	1229	5525
91	1241	5507
92	1256	5500
93	1270	5489
94	1284	5474
95	1298	5466
96	1312	5452
97	1325	5438
98	1337	5418
99	1350	5401
100	1362	5381
101	1377	5376
102	1405	5415
103	1420	5410
104	1435	5399
105	1450	5393
106	1464	5379
107	1477	5364
108	1491	5350
109	1505	5336
110	1519	5326
111	1533	5311
112	1547	5298
113	1562	5292
114	1579	5288
115	1594	5278
116	1613	5280
117	1628	5271
118	1645	5269
119	1667	5281
120	1687	5284
121	1710	5298
122	1729	5301
123	1758	5333
124	1786	5359
125	1811	5376
126	1839	5403
127	1875	5451
128	1923	5533
129	1966	5596
130	2019	5689
131	2072	5778
132	2179	6014
133	2265	6187
134	2309	6244
135	2335	6251
136	2369	6279
137	2400	6297
138	2425	6299
139	2449	6299
140	2474	6299
141	2513	6337
142	2539	6340
143	2564	6338
144	2597	6358
145	2620	6354
146	2653	6372
147	2676	6365
148	2702	6365
149	2733	6378
150	2755	6368
